Title,Price,24HChange,24hVolume,MarketCap
Bitcoin,"$17,436.76",+2.60%,$20.76 B,$331.75 B
Ethereum,"$1,302.96",+4.45%,$6.41 B,$156.98 B
Tether,$1.02,+0.09%,$26.22 B,$65.77 B
BNB,$294.01,+2.41%,$645.25 M,$46.42 B
USD Coin,$1.00,+0.03%,$2.18 B,$42.79 B
Binance USD,$1.00,+0.28%,$5.86 B,$22.12 B
XRP,$0.3963,+1.15%,$718.3 M,$19.66 B
Dogecoin,$0.09957,+2.48%,$461.26 M,$13.05 B
Cardano,$0.3181,+1.90%,$149.52 M,$10.83 B
Polygon,$0.9384,+4.12%,$263.02 M,$8.09 B
Polkadot,$5.47,+2.01%,$157.11 M,$6.17 B
Dai,$1.02,+0.02%,$156.5 M,$5.87 B
Litecoin,$78.89,+3.75%,$592.69 M,$5.59 B
Wrapped TRON,$0.0544,+2.10%,"$422,842",$5.53 B
Shiba Inu,$0.000009501,+1.45%,$86.49 M,$5.11 B
HEX,$0.02887,+2.97%,$4.09 M,$5.01 B
Solana,$14.33,+2.34%,$181.7 M,$5.01 B
TRON,$0.05446,+2.01%,$159.17 M,$5.02 B
Uniswap,$6.28,+3.29%,$76.82 M,$4.68 B
Lido stETH,"$1,236.89",+2.36%,$10.58 M,$4.31 B
Avalanche,$13.73,+1.97%,$120.53 M,$4.18 B
UNUS SED LEO,$3.79,+0.05%,$1.25 M,$3.61 B
Chainlink,$7.12,+2.44%,$193.3 M,$3.55 B
Wrapped Bitcoin,"$17,530.45",+2.54%,$81.81 M,$3.45 B
Cosmos,$10.02,+2.86%,$99.89 M,$2.82 B
Monero,$147.30,+1.79%,$73.8 M,$2.68 B
Ethereum Classic,$19.67,+2.49%,$95.69 M,$2.66 B
Toncoin,$1.82,-0.32%,$23.97 M,$2.23 B
Stellar,$0.0873,+2.07%,$38.85 M,$2.2 B
Bitcoin Cash,$113.40,+2.71%,$150.12 M,$2.15 B
Cronos,$0.06538,+1.95%,$14.68 M,$1.63 B
Algorand,$0.2274,+0.14%,$48.38 M,$1.6 B
Filecoin,$4.51,+2.03%,$93.34 M,$1.48 B
Quant,$125.23,+4.74%,$29.26 M,$1.49 B
NEAR Protocol,$1.73,+2.25%,$66.21 M,$1.43 B
ApeCoin,$4.01,+2.95%,$118.94 M,$1.42 B
VeChain,$0.01956,+2.16%,$26.14 M,$1.38 B
OKB,$20.84,+0.22%,$12.87 M,$1.25 B
Hedera,$0.05048,+1.94%,$12.3 M,$1.2 B
Internet Computer,$4.34,+2.70%,$21.15 M,$1.17 B
EOS,$1.05,+5.37%,$178.75 M,$1.11 B
Wrapped BNB,$289.51,+1.71%,$60.8 M,$1.1 B
Elrond,$46.78,+3.23%,$23.79 M,$1.09 B
Trust Wallet Token,$2.64,+8.97%,$141.93 M,$1.1 B
Flow,$1.05,+0.69%,$41.76 M,$1.07 B
Luna Classic,$0.000191,+5.76%,$154.41 M,$1.04 B
Frax,$0.9977,+0.14%,$5.74 M,$1.02 B
Huobi Token,$6.54,+4.08%,$11.08 M,$1 B
Pax Dollar,$1.00,+0.09%,$1.58 M,$946.51 M
